ID,app_ID,Call,Service_Type,Market,State,transmitter_lat,transmitter_lon,avg.dist,xFormat,Format,SEPT.16,OCT.16,NOV.16,DEC.16,Share_Change,Christmas
BLH-20000103ABD,430380,KABX,FM,NA,CA,37.44549,-120.14462,53422.98,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLH-20100308ACD,1358710,KABZ,FM,NA,AR,34.79898,-92.49571,83562.63,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-19931110KA,191750,KACC,FM,NA,TX,29.40051,-95.20382,27703.87,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20150807AAN,1684993,KACE,FM,NA,NV,36.93633,-116.85006,44779.14,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20140925AFX,1651819,KACG,FM,NA,NV,37.70827,-117.23508,9642.28,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20120823AAZ,1511496,KACI,FM,NA,OR,45.71207,-121.11479,51819.81,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20060523ADL,1128954,KACL,FM,NA,ND,46.58999,-100.79652,68936.29,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20060130AUS,1109286,KACO,FM,NA,OK,34.94173,-98.37617,34938.7,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20140807AAZ,1646174,KACP,FM,NA,NV,36.28413,-116.05031,29899.3,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19950623KB,210672,KACQ,FM,NA,TX,31.24267,-98.32226,27045.84,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLED-20150811AGH,1685171,KACS,FM,NA,WA,46.73066,-123.02597,21355.59,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19800806AD,22705,KACT,FM,NA,TX,32.34733,-102.55683,17988.47,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20150415AAT,1674601,KACU,FM,NA,TX,32.22985,-99.62869,47156.07,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-19900208KD,144975,KACV,FM,NA,TX,35.34255,-101.82296,77239.74,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20120425ADR,1492763,KACW,FM,NA,WA,46.69538,-123.77266,17202.47,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19990806KG,287725,KACY,FM,NA,KS,37.08364,-96.92976,28150.22,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20110523ACN,1428378,KACZ,FM,NA,KS,39.22611,-96.61695,39319.63,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20030408AAA,656777,KADA,FM,NA,OK,34.7087,-96.74029,24041.53,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20080201BGH,1230740,KADD,FM,NA,NV,36.63525,-114.12247,83910.63,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19900626KB,149842,KADI,FM,NA,MO,37.16505,-93.39575,27162.87,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20040518ABF,984478,KADL,FM,NA,NE,40.5125,-101.64461,11182.39,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20080317AAU,1238921,KADQ,FM,NA,WY,41.35272,-110.90935,41238.76,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20070629AAJ,1193172,KADU,FM,NA,MN,47.40271,-92.96408,19889.28,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLED-19930604KI,187033,KADV,FM,NA,NA,37.60715,-120.95827,12725.49,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20000330ACC,495924,KAEH,FM,NA,CA,33.90807,-116.99669,25641.77,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20140616AAG,1641003,KAER,FM,NA,NV,36.60108,-114.58582,87765.4,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19991007ABE,418799,KAFC,FM,NA,AK,61.06722,-149.74333,48898.55,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20091204ADR,1348161,KAFE,FM,NA,WA,48.68027,-122.84193,82428.5,Holiday (Adult Contemporary),NA,NA,NA,NA,NA,NA,TRUE
BLH-19891016KC,134498,KAFF,FM,NA,AZ,34.96863,-111.50737,81474.57,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20060703ACM,1136730,KAFH,FM,NA,MT,47.53246,-111.27803,17518.69,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20111209IZL,1473863,KAFM,FM,NA,CO,39.06665,-108.74538,18922.64,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20030602BUP,665529,KAFR,FM,NA,TX,30.46465,-95.50578,55960.17,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19860312KB,86499,KAFX,FM,NA,TX,31.40796,-94.76493,61566.44,NA,NA,NA,NA,NA,NA,NA,FALSE
BPH-20150624ABF,1681281,KAFZ,FM,NA,AZ,35.13113,-112.13489,51727.45,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20050804ADJ,1078284,KAGB,FM,NA,HI,19.71808,-155.91805,49967.04,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLH-20040617AFP,1030746,KAGG,FM,NA,TX,30.80075,-96.1169,51860.02,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19950524KF,209326,KAGH,FM,NA,AR,33.13484,-91.94708,27635.34,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20110819AAJ,1440730,KAGJ,FM,NA,UT,39.32163,-111.77048,32317.03,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20040614ABH,998578,KAGL,FM,NA,AR,33.27124,-92.65488,37795.56,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20061218ABW,1165232,KAGM,FM,NA,NM,35.78058,-106.52698,75658.01,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20050902ABI,1073513,KAGO,FM,NA,OR,42.21542,-121.79862,45970.7,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20140314ABT,1629735,KAGP,FM,NA,TX,32.04107,-101.83291,10156.14,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20050927AHV,1087469,KAGT,FM,NA,TX,32.5104,-99.74148,45535.64,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20041119ADR,1029623,KAGU,FM,NA,WA,47.58101,-117.29743,52131.62,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20150902ADV,1686792,KAGZ,FM,NA,TX,31.36546,-94.7666,28108.55,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19880209KD,109359,KAHE,FM,NA,KS,37.64113,-100.34487,60296.41,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20090303AAF,1298059,KAHL,FM,NA,TX,29.31385,-99.26671,27068.8,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19960111BK,218059,KAHM,FM,NA,AZ,34.68725,-112.11766,90909.73,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19950830KD,213300,KAHR,FM,NA,MO,36.76644,-90.48122,26777.22,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20161017AAE,1742156,KAHU,FM,NA,HI,19.52058,-155.29945,49173.58,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20090717ABE,1323679,KAIA,FM,NA,MO,36.67533,-89.77203,41878.83,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20061030AAY,1157200,KAIB,FM,NA,CA,35.61468,-119.47206,39203.59,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20070124AKJ,1169661,KAIC,FM,NA,AZ,32.61563,-110.64454,23285.84,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20080624AAV,1251988,KAIG,FM,NA,KS,37.93224,-100.31764,64526.56,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20070427ADO,1183218,KAIH,FM,NA,AZ,34.46446,-114.26801,19638.3,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLED-20060428ACI,1127824,KAIK,FM,NA,OR,45.46621,-123.92096,17124.43,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19990430KB,284317,KAIM,FM,NA,HI,21.39268,-158.0967,71945.37,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLED-20150826ABB,1686373,KAIO,FM,NA,ID,43.54352,-111.88608,16962.86,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20050916ABU,1083753,KAIP,FM,NA,IA,41.08309,-91.17182,40656.84,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20041012ABN,1018961,KAIQ,FM,NA,TX,33.51759,-101.85711,63629.31,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19950206KE,206210,KAIR,FM,NA,KS,39.62861,-95.31497,40512.94,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20040622ABH,999516,KAIS,FM,NA,NA,37.56021,-121.60634,22116.58,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20090220AAZ,1297332,KAIW,FM,NA,WY,41.29609,-105.89222,20221.65,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLED-20140611ABG,1640866,KAIX,FM,NA,WY,41.1597,-104.72219,16603.19,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLH-20010412AAK,560372,KAJA,FM,San Antonio,TX,29.52384,-98.72391,70156.7,NA,Country,6.1,5.5,5.6,NA,NA,FALSE
BLED-20050124AHZ,1041218,KAJC,FM,NA,OR,44.75901,-123.22732,9176.68,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLH-20050203AEE,1040484,KAJE,FM,NA,TX,27.86753,-97.21888,38941.58,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLH-20101223AAS,1412770,KAJK,FM,NA,CA,40.44323,-120.64412,17844.54,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLH-20120321AES,1492846,KAJM,FM,Phoenix,AZ,34.22975,-112.35156,89018.28,NA,Rhythmic Oldies,NA,1.5,1.5,1.3,-0.2,FALSE
BLH-19800324AD,18592,KAJN,FM,NA,LA,30.03882,-92.37097,83928.68,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20140929ARL,1651167,KAJP,FM,NA,TX,28.50924,-99.87728,26664.62,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20060417AGA,1133093,KAJT,FM,NA,OK,34.77564,-96.58779,32853.09,NA,NA,NA,NA,NA,NA,NA,FALSE
