From: https://tlr.nielsen.com/tlr/public/ratingsDisplay.do?method=loadRatingsForMarket,,,,,,,
City,State,Subscriber, Format,16-Sep, OCT 16, NOV 16, DEC 16
Dallas,TX,KMVK-FM,Mexican Regional,,2.7,2.9,2.7
Dallas,TX,KKDA-FM,Urban Contemporary,,2.5,2.4,2.6
Dallas,TX,KBFB-FM,Rhythmic Contemporary Hit Radio,,2.7,2.6,2.4
Dallas,TX,KDXX-FM,Spanish Contemporary,,2.1,2.3,2.4
Dallas,TX,KVIL-FM,Hot Adult Contemporary,,3.1,2.7,2.3
Dallas,TX,KRLD-AM,News Talk Information,,2.2,1.9,1.8
Dallas,TX,KCBI-FM,Contemporary Christian,,1.8,1.7,1.7
Dallas,TX,KLIF-FM,Pop Contemporary Hit Radio,,1.5,1.6,1.7
Dallas,TX,KZZA-FM,Mexican Regional,,1.6,1.7,1.6
Dallas,TX,KESN-FM,All Sports,,1.6,1.5,1.5
Dallas,TX,KNOR-FM,Mexican Regional,,1.3,1.2,1.5
Dallas,TX,KSOC-FM,Urban Adult Contemporary,,1.6,1.6,1.3
Dallas,TX,KBOC-FM,Spanish Contemporary,,1.4,1.2,1.1
Dallas,TX,KSKY-AM,News Talk Information,,0.9,0.8,1.1
Dallas,TX,KKXT-FM,Album Adult Alternative,,0.9,0.8,0.9
Dallas,TX,WRR-FM,Classical,,0.8,0.8,0.9
Dallas,TX,KAWA-FM,Contemporary Christian,,0.6,0.7,0.8
Dallas,TX,KLIF-AM,News Talk Information,,0.4,0.4,0.4
Dallas,TX,KFZO-FM,Mexican Regional,,0.4,0.3,0.3
Dallas,TX,KERA-FM Stream,News Talk Information,,*,*,0.2
Dallas,TX,KJRN-FM,Christian Adult Contemporary,,0.1,*,0.2
Denver,CO,KOSI-FM,Adult Contemporary,,5.4,5.6,6.5
Denver,CO,KQMT-FM,Classic Rock,,5.5,5.4,6
Denver,CO,KYGO-FM,Country,,5.3,5.6,5.8
Denver,CO,KXKL-FM,Classic Hits,,5.7,5.9,5.7
Denver,CO,KTCL-FM,Alternative,,6.6,6.6,5.3
Denver,CO,KRFX-FM,Classic Rock,,4.8,5.1,4.7
Denver,CO,KCFR-FM,News Talk Information,,3.8,4.4,4.6
Denver,CO,KALC-FM,Modern Adult Contemporary,,3.8,3.6,4.3
Denver,CO,KOA-AM,News Talk Information,,4.1,4,4.3
Denver,CO,KIMN-FM,Hot Adult Contemporary,,4,4.1,4.1
Denver,CO,KPTT-FM,Pop Contemporary Hit Radio,,3.6,3.9,4.1
Denver,CO,KBPI-FM,Active Rock,,3.3,3.4,3.8
